DrugBank ID,Name,CAS Number,Drug Type,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,PharmGKB ID,HET ID,UniProt ID,UniProt Title,GenBank ID,DPD ID,RxList Link,Pdrhealth Link,Wikipedia Link,Drugs.com link,NDC ID,ChemSpider ID,BindingDB ID,TTD ID
DB00001,Lepirudin,120993-53-5,BiotechDrug,"","",,,"",PA450195,"",P01050,ITH1_HIRME,"",2240996,http://www.rxlist.com/cgi/generic/lepirudin.htm,"",http://en.wikipedia.org/wiki/Lepirudin,http://www.drugs.com/cdi/lepirudin.html,50419-150-57,,,DAP000541
DB00002,Cetuximab,205923-56-4,BiotechDrug,"","",,,"",PA10040,"","","",J00228,,http://www.rxlist.com/cgi/generic3/erbitux.htm,"",http://en.wikipedia.org/wiki/Cetuximab,http://www.drugs.com/cdi/cetuximab.html,66733-948-23,,,DNC000788
DB00003,Dornase Alfa,9003-98-9,BiotechDrug,"","",,,"",PA10318,"",P24855,DNAS1_HUMAN,M55983,2046733,http://www.rxlist.com/cgi/generic/pulmozyme.htm,"",http://en.wikipedia.org/wiki/Dornase_alfa,http://www.drugs.com/cdi/dornase-alfa.html,,,,DAP000981
DB00004,Denileukin diftitox,173146-27-5,BiotechDrug,"","",,,"",PA10317,"",P00587,DTX_COROM,V01536,,http://www.rxlist.com/cgi/generic2/denileukin.htm,"",http://en.wikipedia.org/wiki/Denileukin_diftitox,http://www.drugs.com/cdi/denileukin-diftitox.html,62856-603-01,,,DAP001098
DB00005,Etanercept,185243-69-0,BiotechDrug,C07897,D00742,,,"",PA449515,"",P20333,TNR1B_HUMAN,M32315,2242903,http://www.rxlist.com/cgi/generic/etanercept.htm,"",http://en.wikipedia.org/wiki/Etanercept,http://www.drugs.com/cdi/etanercept.html,58406-455-04,,,DNC000605
DB00006,Bivalirudin,128270-60-0,BiotechDrug,"","",,,"",PA10032,"","","","",2246533,http://www.rxlist.com/cgi/generic/angiomax.htm,"",http://en.wikipedia.org/wiki/Bivalirudin,http://www.drugs.com/cdi/bivalirudin.html,65293-001-01,,,DAP000542
DB00007,Leuprolide,53714-56-0,BiotechDrug,C07612,"",,,"",PA450202,"","","","",,http://www.rxlist.com/cgi/generic/eligard.htm,"",http://en.wikipedia.org/wiki/Leuprolide,http://www.drugs.com/cdi/leuprolide.html,0024-0793-75,,,DAP000020
DB00008,Peginterferon alfa-2a,198153-51-4,BiotechDrug,"","",,,"",PA10152,"",P01563,IFNA2_HUMAN,J00207,2248077,http://www.rxlist.com/cgi/generic3/pegasys.htm,"",http://en.wikipedia.org/wiki/Peginterferon_alfa-2a,http://www.drugs.com/cdi/peginterferon-alfa-2a.html,"",,,DAP001278
DB00009,Alteplase,105857-23-6,BiotechDrug,"",D02837,,,"",PA10012,"",P00750,TPA_HUMAN,L00153,2245859,http://www.rxlist.com/cgi/generic/alteplas.htm,"",http://en.wikipedia.org/wiki/Alteplase,http://www.drugs.com/cdi/alteplase.html,,,,DAP000203
DB00010,Sermorelin,86168-78-7,BiotechDrug,C08192,"",,,"",PA451331,"","","","",,http://www.rxlist.com/cgi/generic2/sermorelin.htm,"",http://en.wikipedia.org/wiki/Sermorelin,http://www.drugs.com/cdi/sermorelin-acetate.html,"",,,DAP001055
DB00011,Interferon alfa-n1,74899-72-2,BiotechDrug,"","",,,"",PA10274,"",P01563,IFNA2_HUMAN,J00207,1959077,"","","","","",,,DAP001280
DB00012,Darbepoetin alfa,11096-26-7,BiotechDrug,"","",,,"",PA10801,"",P01588,EPO_HUMAN,X02158,2246360,http://www.rxlist.com/cgi/generic/aranesp.htm,"",http://en.wikipedia.org/wiki/Darbepoetin_alfa,http://www.drugs.com/cdi/darbepoetin-alfa-albumin.html,"",,,DAP000800
DB00013,Urokinase,9039-53-6,BiotechDrug,"","",,,"",PA451836,"",P00749,UROK_HUMAN,X02419,749702,http://www.rxlist.com/cgi/pharmclips2.cgi?keyword=%20Abbokinase%AE,"",http://en.wikipedia.org/wiki/Urokinase,http://www.drugs.com/mtm/urokinase.html,24430-1003-1,,,DAP001194
DB00014,Goserelin,65807-02-5,BiotechDrug,"",D00573,,,"","","","","","",2225905,http://www.rxlist.com/cgi/generic/goserel.htm,"",http://en.wikipedia.org/wiki/Goserelin,http://www.drugs.com/cdi/goserelin.html,0310-0951-30,,,DAP000023
DB00015,Reteplase,133652-38-7,BiotechDrug,"","",,,"","","",P00750,TPA_HUMAN,L00153,2233013,http://www.rxlist.com/cgi/generic2/reteplase.htm,"",http://en.wikipedia.org/wiki/Reteplase,http://www.drugs.com/cdi/reteplase.html,24477-041-02,,,DAP001195
DB00016,Epoetin alfa,113427-24-0,BiotechDrug,"","",,,"",PA449478,"",P01588,EPO_HUMAN,X02158,2243403,http://www.rxlist.com/cgi/generic/epoetin.htm,"",http://en.wikipedia.org/wiki/Epoetin_alfa,http://www.drugs.com/cdi/epoetin-alfa.html,55513-126-10,,,DAP000202
DB00017,Salmon Calcitonin,47931-85-1,BiotechDrug,C06865,D00249,,,"",PA448716,"",P01263,CALC1_ONCKE,Y00765,,http://www.rxlist.com/cgi/generic2/calcit.htm,"",http://en.wikipedia.org/wiki/Calcitonin,,60505-0823-6,,,DAP001302
DB00018,Interferon alfa-n3,"",BiotechDrug,"","",,,"",PA10322,"","","","",,"","","",http://www.drugs.com/cdi/interferon-alfa-n3-solution.html,"",,,DAP001281
DB00019,Pegfilgrastim,208265-92-3,BiotechDrug,"","",,,"",PA10809,"",P09919,CSF3_HUMAN,X03438,2249790,http://www.rxlist.com/cgi/generic3/neulasta.htm,"",http://en.wikipedia.org/wiki/Pegfilgrastim,http://www.drugs.com/cdi/pegfilgrastim.html,55513-190-01,,,DAP000395
DB00020,Sargramostim,83869-56-1,BiotechDrug,"","",,,"",PA451306,"",P04141,CSF2_HUMAN,M13207,,http://www.rxlist.com/cgi/generic/sargramostim.htm,"",http://en.wikipedia.org/wiki/Sargramostim,http://www.drugs.com/cdi/sargramostim.html,50419-002-33,,,DAP001053
DB00021,Secretin,"",BiotechDrug,"","",,,"",PA451315,"","","","",874000,http://www.rxlist.com/cgi/generic3/secretin.htm,"",http://en.wikipedia.org/wiki/Secretin,http://www.drugs.com/human_secretin.html,,,,DAP001296
DB00022,Peginterferon alfa-2b,99210-65-8,BiotechDrug,"","",,,"",PA10153,"",P01563,IFNA2_HUMAN,"",2242966,http://www.rxlist.com/cgi/generic2/peginterferon.htm,"",http://en.wikipedia.org/wiki/Peginterferon_alfa-2b,http://www.drugs.com/cdi/peginterferon-alfa-2b.html,0085-1323-01,,,DAP001279
DB00023,Asparaginase,9015-68-3,BiotechDrug,"","",,,"",PA448492,"",P37595,ASGX_ECOLI,U00096,1926438,http://www.rxlist.com/cgi/generic3/asparaginase.htm,"",http://en.wikipedia.org/wiki/Asparaginase,http://www.drugs.com/cdi/asparaginase.html,"",,,
