"HGNC ID"	"Approved Symbol"	"Approved Name"	"Status"	"Previous Symbols"	"Synonyms"	"Chromosome"	"Accession Numbers"	"RefSeq IDs"
"HGNC:5"	"A1BG"	"alpha-1-B glycoprotein"	"Approved"			"19q"		"NM_130786"
"HGNC:37133"	"A1BG-AS1"	"A1BG antisense RNA 1 (non-protein coding)"	"Approved"	"NCRNA00181, A1BGAS, A1BG-AS"	"FLJ23569"	"19q13.4"	"BC040926"	"NR_015380"
"HGNC:24086"	"A1CF"	"APOBEC1 complementation factor"	"Approved"		"ACF, ASP, ACF64, ACF65, APOBEC1CF"	"10q21.1"	"AF271790"	"NM_014576"
"HGNC:6"	"A1S9T~withdrawn"	"symbol withdrawn, see UBA1"	"Symbol Withdrawn"					
"HGNC:25100"	"A2LD1"	"AIG2-like domain 1"	"Approved"		"GGACT"	"13q32.3"		"NM_033110"
"HGNC:7"	"A2M"	"alpha-2-macroglobulin"	"Approved"		"FWP007, S863-7, CPAMD5"	"12p13.31"	"BX647329, X68728, M11313"	"NM_000014"
"HGNC:23336"	"A2ML1"	"alpha-2-macroglobulin-like 1"	"Approved"	"CPAMD9"	"FLJ25179"	"12p13"	"AK057908"	"NM_144670"
"HGNC:41022"	"A2ML1-AS1"	"A2ML1 antisense RNA 1 (non-protein coding)"	"Approved"			"12p13.31"		
"HGNC:41523"	"A2ML1-AS2"	"A2ML1 antisense RNA 2 (non-protein coding)"	"Approved"			"12p13.31"		
"HGNC:8"	"A2MP1"	"alpha-2-macroglobulin pseudogene 1"	"Approved"	"A2MP"		"12p13.3-p12.3"	"M24415"	"NG_001067"
"HGNC:10"	"A2MRAP~withdrawn"	"symbol withdrawn, see LRPAP1"	"Symbol Withdrawn"					
"HGNC:9"	"A2MR~withdrawn"	"symbol withdrawn, see LRP1"	"Symbol Withdrawn"					
"HGNC:30005"	"A3GALT2P"	"alpha 1,3-galactosyltransferase 2, pseudogene"	"Approved"	"A3GALT2"	"IGBS3S"	"1p35.1"		"NG_012483"
"HGNC:18149"	"A4GALT"	"alpha 1,4-galactosyltransferase"	"Approved"		"A14GALT, Gb3S, P(k)"	"22q13.2"		"NM_017436"
"HGNC:17968"	"A4GNT"	"alpha-1,4-N-acetylglucosaminyltransferase"	"Approved"		"alpha4GnT"	"3p14.3"	"AF141315"	"NM_016161"
"HGNC:1"	"A12M1~withdrawn"	"entry withdrawn"	"Entry Withdrawn"					
"HGNC:2"	"A12M2~withdrawn"	"entry withdrawn"	"Entry Withdrawn"					
"HGNC:3"	"A12M3~withdrawn"	"entry withdrawn"	"Entry Withdrawn"					
"HGNC:4"	"A12M4~withdrawn"	"entry withdrawn"	"Entry Withdrawn"					
"HGNC:13666"	"AAAS"	"achalasia, adrenocortical insufficiency, alacrimia"	"Approved"			"12q13"	"AJ289841"	
